school,count,circuit
Princeton University,1,Sixth
Radcliffe College,1,Sixth
Southern Methodist University,1,Sixth
Stanford University,1,Sixth
Swarthmore College,1,Sixth
Tufts University,1,Sixth
Union University,1,Sixth
University of Alabama,1,Sixth
"University of California, Berkeley",1,Sixth
University of Kentucky,1,Sixth
University of Maryland,1,Sixth
University of North Carolina,1,Sixth
University of Northern Iowa,1,Sixth
University of Notre Dame,1,Sixth
University of Pennsylvania,1,Sixth
University of Wisconsin,1,Sixth
Washington and Lee University,1,Sixth
West Virginia State University,1,Sixth
Williams College,1,Sixth
Harvard University,15,Tenth
University of Wyoming,9,Tenth
University of Virginia,7,Tenth
University of Chicago,6,Tenth
University of Colorado,6,Tenth
University of Denver,6,Tenth
Southern University and A & M College,5,Tenth
University of Kansas,5,Tenth
University of Oklahoma,5,Tenth
University of Utah,5,Tenth
University of Michigan,4,Tenth
Montana State University,3,Tenth
Washburn University,3,Tenth
Washington University in St. Louis,3,Tenth
Yale University,3,Tenth
Columbia University,2,Tenth
Stanford University,2,Tenth
University of Oxford,2,Tenth
Adams State University,1,Tenth
Brigham Young University,1,Tenth
Creighton University,1,Tenth
Fordham University,1,Tenth
Georgetown University,1,Tenth
Michigan State University,1,Tenth
New Mexico Military Institute,1,Tenth
Northwestern University,1,Tenth
Smith College,1,Tenth
Texas Tech University,1,Tenth
University of Arizona,1,Tenth
"University of California, Hastings College of the Law",1,Tenth
University of Nebraska,1,Tenth
University of New Mexico,1,Tenth
University of Notre Dame,1,Tenth
Wake Forest University,1,Tenth
"Westminster College, Fulton, Missouri",1,Tenth
Harvard University,25,Third
State University of New York at Buffalo,13,Third
University of Virginia,13,Third
Princeton University,10,Third
Temple University,10,Third
University of Maryland,9,Third
Yale University,9,Third
Duquesne University,8,Third
Columbia University,6,Third
Georgetown University,6,Third
Rutgers University,6,Third
University of Pennsylvania,5,Third
University of Pittsburgh,5,Third
Pennsylvania State University,3,Third
Crozer Theological Seminary,2,Third
Fordham University,2,Third
Hofstra University,2,Third
Seton Hall University,2,Third
Stanford University,2,Third
University of Delaware,2,Third
University of Michigan,2,Third
Amherst College,1,Third
Antioch College,1,Third
Brigham Young University,1,Third
Bucknell University,1,Third
Carleton College,1,Third
College of the Holy Cross,1,Third
Cornell University,1,Third
Dartmouth College,1,Third
Drake University,1,Third
Drexel University,1,Third
Franklin and Marshall College,1,Third
George Mason University,1,Third
Gettysburg College,1,Third
Grove City College,1,Third
Lehigh University,1,Third
Lycoming College,1,Third
Moravian College,1,Third
Mount Holyoke College,1,Third
New York Law School,1,Third
New York University,1,Third
Smith College,1,Third
Southern Illinois University,1,Third
State University of New York at Cortland,1,Third
Syracuse University,1,Third
Trinity College,1,Third
Tufts University,1,Third
Tulane University,1,Third
University of Dayton,1,Third
University of Maine,1,Third
University of Notre Dame,1,Third
University of Oxford,1,Third
University of Scranton,1,Third
University of Southern California,1,Third
Villanova University,1,Third
Washington and Jefferson College,1,Third
Wesleyan University,1,Third
