school1_alt,school2_alt,school3_alt,lastname,firstname,suffix,name,year1,school2,year2,school3,year3,school4,year4,school5,year5,circuit
"Indiana University, B.S.",,,Eschbach, Jesse Ernest,,"Eschbach, Jesse Ernest",1943,"Indiana University School of Law -- Bloomington (now Maurer School of Law), J.D.",1949,"Northwestern University School of Law (now Pritzker School of Law), J.D.",,,,,,Seventh
"Marquette University, B.A.",,,Coffey, John Louis,,"Coffey, John Louis",1943,"Marquette University Law School, J.D.",1948,"Northwestern University School of Law (now Pritzker School of Law), J.D.",,,,,,Seventh
"Union College, B.A.",,,Flaum, Joel Martin,,"Flaum, Joel Martin",1958,"Northwestern University School of Law (now Pritzker School of Law), J.D.",1963,"Northwestern University School of Law (now Pritzker School of Law), LL.M.",1964,,,,,Seventh
"Swarthmore College, B.A.",,,Easterbrook, Frank Hoover,,"Easterbrook, Frank Hoover",1970,"University of Chicago Law School, J.D.",1973,"Northwestern University School of Law (now Pritzker School of Law), LL.M.",,,,,,Seventh
"Fordham University, A.B.",,,Ripple, Kenneth Francis,,"Ripple, Kenneth Francis",1965,"University of Virginia School of Law, J.D.",1968,"George Washington University Law School, LL.M.",1972,,,,,Seventh
"University of Notre Dame, A.B.",,,Manion, Daniel Anthony,,"Manion, Daniel Anthony",1964,"Indiana University School of Law -- Indianapolis (now McKinney School of Law), J.D.",1973,"George Washington University Law School, LL.M.",,,,,,Seventh
"Indiana University, B.S.",,,Kanne, Michael Stephen,,"Kanne, Michael Stephen",1962,"Indiana University Maurer School of Law, J.D.",1968,"George Washington University Law School, LL.M.",,,,,,Seventh
"Bryn Mawr College, A.B.",,,Rovner, Ilana Kara Diamond,,"Rovner, Ilana Kara Diamond",1960,"Chicago-Kent College of Law, J.D.",1966,"George Washington University Law School, LL.M.",,,,,,Seventh
"University of Texas, B.A.",,,Wood, Diane Pamela,,"Wood, Diane Pamela",1971,"University of Texas School of Law, J.D.",1975,"George Washington University Law School, LL.M.",,,,,,Seventh
"Marquette University, B.A.",,,Evans, Terence Thomas,,"Evans, Terence Thomas",1962,"Marquette University Law School, J.D.",1967,"George Washington University Law School, LL.M.",,,,,,Seventh
"Wayne State University, B.S.",,,Williams, Ann Claire,,"Williams, Ann Claire",1970,"University of Michigan, M.A.",1972,"Notre Dame Law School, J.D.",1975,,,,,Seventh
"Northwestern University, B.S.",,,Sykes, Diane S.,,"Sykes, Diane S.",1980,"Marquette University Law School, J.D.",1984,"Notre Dame Law School, J.D.",,,,,,Seventh
"Indiana University, B.S.",,,Tinder, John Daniel,,"Tinder, John Daniel",1972,"Indiana University Maurer School of Law, J.D.",1975,"Notre Dame Law School, J.D.",,,,,,Seventh
"Haverford College, B.A.",,,Hamilton, David Frank,,"Hamilton, David Frank",1979,"Yale Law School, J.D.",1983,"Notre Dame Law School, J.D.",,,,,,Seventh
"Rhodes College, B.A.",,,Barrett, Amy Coney,,"Barrett, Amy Coney",1994,"Notre Dame Law School, J.D.",1997,"Notre Dame Law School, J.D.",,,,,,Seventh
"University of Notre Dame, B.A.",,,Brennan, Michael Brian,,"Brennan, Michael Brian",1986,"Northwestern University School of Law (now Pritzker School of Law), J.D.",1989,"Notre Dame Law School, J.D.",,,,,,Seventh
"St. Joseph’s College, Rensselaer, Indiana, B.B.A.",,,Scudder, Michael Yale, Jr.,"Scudder, Michael Yale, Jr.",1993,"Northwestern University School of Law (now Pritzker School of Law), J.D.",1998,"Notre Dame Law School, J.D.",,,,,,Seventh
"Cornell University, B.A.",,,St. Eve, Amy Joan,,"St. Eve, Amy Joan",1987,"Cornell Law School, J.D.",1990,"Notre Dame Law School, J.D.",,,,,,Seventh
"Indiana University, B.A.",,,Kirsch, Thomas Lee II,,"Kirsch, Thomas Lee II",1996,"Harvard Law School, J.D.",1999,"Notre Dame Law School, J.D.",,,,,,Seventh
"Princeton University, A.B.",,,Jackson-Akiwumi, Candace Rae,,"Jackson-Akiwumi, Candace Rae",2000,"Yale Law School, J.D.",2005,"Notre Dame Law School, J.D.",,,,,,Seventh
Read law,,,Caldwell, Henry Clay,,"Caldwell, Henry Clay",1851,"Yale Law School, J.D.",,,,,,,,Eighth
"Dartmouth College, A.B.",,,Sanborn, Walter Henry,,"Sanborn, Walter Henry",1867,"Dartmouth College, A.M.",1870,Read law,1871,,,,,Eighth
Hamilton College,,,Thayer, Amos Madden,,"Thayer, Amos Madden",1862,Read law,1868,Read law,,,,,,Eighth
"Cincinnati Law School (now University of Cincinnati College of Law), LL.B.",,,Van Devanter, Willis,,"Van Devanter, Willis",1881,Read law,,,,,,,,Eighth
"Washington University School of Law, LL.B.",,,Hook, William Cather,,"Hook, William Cather",1878,Read law,,,,,,,,Eighth
"Yale College, B.A.",,,Adams, Elmer Bragg,,"Adams, Elmer Bragg",1865,Harvard Law School,1868,,,,,,,Eighth
University of Michigan,Read law,,Carland, John Emmett,,"Carland, John Emmett",1877,Harvard Law School,,,,,,,,Eighth
Read law,,,Smith, Walter Inglewood,,"Smith, Walter Inglewood",1882,Harvard Law School,,,,,,,,Eighth
Harvard Law School,"University of Missouri, Litt.B.",,Stone, Kimbrough,,"Stone, Kimbrough",1895,Read law,1898,,,,,,,Eighth
"Westminster College, Fulton, Missouri",Read law,,Lewis, Robert E.,,"Lewis, Robert E.",1880,Read law,,,,,,,,Eighth
Grinnell College,University of Iowa,Read law,Kenyon, William Squire,,"Kenyon, William Squire",1891,Read law,,,,,,,,Eighth
"Yale College, A.B.",,,Booth, Wilbur Franklin,,"Booth, Wilbur Franklin",1884,"Yale Law School, LL.B.",1888,,,,,,,Eighth
"University of Michigan, A.B.",,,Van Valkenburgh, Arba Seymour,,"Van Valkenburgh, Arba Seymour",1884,Read law,1888,,,,,,,Eighth
University of Michigan,Read law,,Cotteral, John Hazelton,,"Cotteral, John Hazelton",1885,Read law,,,,,,,,Eighth
"University of Iowa, A.B.",,,Gardner, Archibald K.,,"Gardner, Archibald K.",1892,"University of Iowa College of Law, LL.B.",1893,,,,,,,Eighth
"University of Minnesota, B.A.",,,Sanborn, John Benjamin,,"Sanborn, John Benjamin",1905,"St. Paul College of Law (now Mitchell Hamline School of Law), LL.B.",1907,,,,,,,Eighth
"Heidelberg University, Germany",Read law,,Woodrough, Joseph William,,"Woodrough, Joseph William",1893,"St. Paul College of Law (now Mitchell Hamline School of Law), LL.B.",,,,,,,,Eighth
Washington University School of Law,"University of Missouri, B.L.",,Faris, Charles Breckenridge,,"Faris, Charles Breckenridge",1889,"University of Missouri, B.Pd.",1889,,,,,,,Eighth
"University of Iowa, Ph.B.",,,Thomas, Seth,,"Thomas, Seth",1904,"University of Iowa, A.M.",1906,"University of Iowa College of Law, LL.B.",1910,,,,,Eighth
"University of Nebraska College of Law, LL.B.",,,Johnsen, Harvey M.,,"Johnsen, Harvey M.",1919,"University of Nebraska, A.B.",1921,"University of Iowa College of Law, LL.B.",,,,,,Eighth
Washington and Lee University,"University of Arkansas School of Law, LL.B.",,Riddick, Walter Garrett,,"Riddick, Walter Garrett",1908,"University of Nebraska, A.B.",,,,,,,,Eighth
Read law,,,Collet, John Caskie,,"Collet, John Caskie",1920,"University of Nebraska, A.B.",,,,,,,,Eighth
"University of Minnesota Law School, LL.B.",,,Vogel, Charles Joseph,,"Vogel, Charles Joseph",1923,"University of Nebraska, A.B.",,,,,,,,Eighth
"University of Iowa, B.A.",,,Van Oosterhout, Martin Donald,,"Van Oosterhout, Martin Donald",1922,"University of Iowa College of Law, J.D.",1924,,,,,,,Eighth
"Kansas City School of Law (now University of Missouri-Kansas City School of Law), LL.B.",,,Whittaker, Charles Evans,,"Whittaker, Charles Evans",1924,"University of Iowa College of Law, J.D.",,,,,,,,Eighth
